,Product_Name,Image_URL,Average_Rating,Price,Product_link
1,"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg,4 out of 5,"₹ 13,990.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0679328GVLK4Q8UB1NF&url=%2FOppo-Mystery-Storage-Additional-Exchange%2Fdp%2FB08444S68L%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DMobile%2BPhone%2BUnder%2B20000%2BRupees%26qid%3D1610967521%26sr%3D8-1-spons%26psc%3D1&qualifier=1610967521&id=6964438832117741&widgetName=sp_atf
2,"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",https://m.media-amazon.com/images/I/61CnyJ-IbML._AC_UY218_.jpg,4.1 out of 5,"₹ 13,990.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06798522N7WO2S4C9U95&url=%2FOppo-Fantasy-Storage-Additional-Exchange%2Fdp%2FB08444SXZ6%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DMobile%2BPhone%2BUnder%2B20000%2BRupees%26qid%3D1610967521%26sr%3D8-2-spons%26psc%3D1&qualifier=1610967521&id=6964438832117741&widgetName=sp_atf
3,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)",https://m.media-amazon.com/images/I/71uZrDPrsRL._AC_UY218_.jpg,4 out of 5,"₹ 8,999.00",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_3?dchild=1&keywords=Mobile+Phone+Under+20000+Rupees&qid=1610967521&sr=8-3
4,"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://m.media-amazon.com/images/I/81o1rDu5FZL._AC_UY218_.jpg,3.9 out of 5,"₹ 7,499.00",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_4?dchild=1&keywords=Mobile+Phone+Under+20000+Rupees&qid=1610967521&sr=8-4
5,"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)",https://m.media-amazon.com/images/I/41QsvcpKaZL._AC_UY218_.jpg,2.9 out of 5,"₹ 5,000.00",https://www.amazon.in/Panasonic-Storage-Finger-4000mAh-Battery/dp/B08BV2T63X/ref=sr_1_5?dchild=1&keywords=Mobile+Phone+Under+20000+Rupees&qid=1610967521&sr=8-5
6,"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://m.media-amazon.com/images/I/81onqHVeECL._AC_UY218_.jpg,3.9 out of 5,"₹ 7,499.00",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_6?dchild=1&keywords=Mobile+Phone+Under+20000+Rupees&qid=1610967521&sr=8-6
7,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UY218_.jpg,4.2 out of 5,"₹ 16,499.00",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_7?dchild=1&keywords=Mobile+Phone+Under+20000+Rupees&qid=1610967521&sr=8-7
8,"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)- 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 12 Months No Cost EMI",https://m.media-amazon.com/images/I/81DvimWN5xL._AC_UY218_.jpg,4.1 out of 5,"₹ 15,999.00",https://www.amazon.in/Test-Exclusive-558/dp/B077PWJRFH/ref=sr_1_8?dchild=1&keywords=Mobile+Phone+Under+20000+Rupees&qid=1610967521&sr=8-8
9,"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",https://m.media-amazon.com/images/I/71yXShgxvpL._AC_UY218_.jpg,4 out of 5,"₹ 7,999.00",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07WPVLKPW/ref=sr_1_9?dchild=1&keywords=Mobile+Phone+Under+20000+Rupees&qid=1610967521&sr=8-9
10,"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage)",https://m.media-amazon.com/images/I/71sxX9aLtnL._AC_UY218_.jpg,4.1 out of 5,"₹ 6,999.00",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_10?dchild=1&keywords=Mobile+Phone+Under+20000+Rupees&qid=1610967521&sr=8-10
