,Player_name,Team,Rating,Career_best_rating
1,Virat Kohli,IND,870,"885 v Sri Lanka, 06/07/2019                        "
2,Rohit Sharma,IND,842,"846 v Sri Lanka, 20/10/2017                        "
3,Babar Azam,PAK,837,"841 v Bangladesh, 05/06/2019                        "
4,Ross Taylor,NZ,818,"798 v England, 25/06/2019                        "
5,Aaron Finch,AUS,791,"820 v Australia, 06/07/2019                        "
6,Francois du Plessis,SA,790,"880 v Pakistan, 26/01/2017                        "
7,David Warner,AUS,773,"799 v India, 09/07/2019                        "
8,Kane Williamson,NZ,765,"813 v Sri Lanka, 10/03/2019                        "
9,Quinton de Kock,SA,755,"777 v Australia, 21/06/2018                        "
10,Jonny Bairstow,ENG,754,"808 v Bangladesh, 17/05/2019                        "
