,Player_name,Team,Rating,Career_best_rating
1,Meg Lanning,AUS,749,"834 v New Zealand, 24/02/2016"
2,Stafanie Taylor,WI,746,"765 v India, 02/03/2012"
3,Alyssa Healy,AUS,741,"741 v New Zealand, 07/10/2020"
4,Smriti Mandhana,IND,732,"797 v England, 28/02/2019"
5,Amy Satterthwaite,NZ,723,"756 v Australia, 02/03/2017"
6,Tammy Beaumont,ENG,716,"738 v Australia, 04/07/2019"
7,Ellyse Perry,AUS,691,"766 v West Indies, 11/09/2019"
8,Lizelle Lee,SA,690,"752 v England, 12/06/2018"
9,Laura Wolvaardt,SA,689,"712 v New Zealand, 25/01/2020"
10,Mithali Raj,IND,687,"839 v Australia, 24/12/2004"
