,Player_name,Team,Rating,Career_best_rating
1,Trent Boult,NZ,722,"770 v West Indies, 22/06/2019                        "
2,Mujeeb Ur Rahman,AFG,701,"707 v West Indies, 11/11/2019                        "
3,Jasprit Bumrah,IND,700,"841 v West Indies, 01/11/2018                        "
4,Chris Woakes,ENG,675,"676 v New Zealand, 14/07/2019                        "
5,Kagiso Rabada,SA,665,"724 v England, 29/05/2017                        "
6,Josh Hazlewood,AUS,660,"733 v England, 26/01/2018                        "
7,Mohammad Amir,PAK,647,"663 v Sri Lanka, 02/10/2019                        "
8,Pat Cummins,AUS,646,"729 v Pakistan, 12/06/2019                        "
9,Matt Henry,NZ,641,"675 v Australia, 08/02/2016                        "
10,Jofra Archer,ENG,637,"642 v Australia, 13/09/2020                        "
