,Player_name,Team,Rating,Career_best_rating
1,Ellyse Perry,AUS,460,"548 v West Indies, 11/09/2019"
2,Stafanie Taylor,WI,410,"559 v New Zealand, 10/10/2013"
3,Marizanne Kapp,SA,389,"389 v New Zealand, 30/01/2020"
4,Deepti Sharma,IND,359,"397 v South Africa, 09/10/2019"
5,Dane van Niekerk,SA,335,"421 v Sri Lanka, 11/02/2019"
6,Jess Jonassen,AUS,301,"308 v West Indies, 11/09/2019"
7,Sophie Devine,NZ,289,"305 v Australia, 05/10/2020"
8,Natalie Sciver,ENG,273,"307 v Sri Lanka, 21/03/2019"
9,Shikha Pandey,IND,250,"262 v South Africa, 14/10/2019"
10,Katherine Brunt,ENG,232,"270 v Sri Lanka, 16/03/2019"
