,Movie name,IMDB_rating,Year_of_release
1,Rang De Basanti, 8.2,2006
2,3 Idiots, 8.4,2009
3,Taare Zameen Par, 8.4,2007
4,Dil Chahta Hai, 8.1,2001
5,Swades We the People, 8.2,2004
6,Lagaan Once Upon a Time in India, 8.1,2001
7,Gangs of Wasseypur, 8.2,2012
8,Barfi, 8.1,2012
9,Anand, 8.4,1971
10,Munna Bhai MBBS, 8.1,2003
11,A Wednesday, 8.1,2008
12,Andaz Apna Apna, 8.2,1994
13,Sholay, 8.2,1975
14,Bhaag Milkha Bhaag, 8.2,2013
15,Hera Pheri, 8.2,2000
16,Udaan, 8.2,2010
17,Kahaani, 8.1,2012
18,Black, 8.2,2005
19,Chak De India, 8.2,2007
20,Khosla Ka Ghosla, 8.3,2006
21,Jo Jeeta Wohi Sikandar, 8.2,1992
22,Zindagi Na Milegi Dobara, 8.1,2011
23,Paan Singh Tomar, 8.2,2012
24,Dilwale Dulhania Le Jayenge, 8.1,1995
25,Omkara, 8.1,2006
26,Lage Raho Munna Bhai, 8,2006
27,Iqbal, 8.1,2005
28,The Lunchbox, 7.8,2013
29,Black Friday, 8.5,2004
30,Company, 8,2002
31,Gol Maal, 8.6,1979
32,DevD, 8,2009
33,Jaane Bhi Do Yaaro, 8.4,1983
34,OMG Oh My God, 8.1,2012
35,MughalEAzam, 8.2,1960
36,Gulaal, 8.1,2009
37,Dor, 7.9,2006
38,Jab We Met, 7.9,2007
39,Pyaasa, 8.5,1957
40,The Legend of Bhagat Singh, 8.1,2002
41,Masoom, 8.4,1983
42,Salaam Bombay, 8,1988
43,Satya, 8.2,1998
44,Vicky Donor, 7.8,2012
45,Lakshya, 7.9,2004
46,Vaastav The Reality, 8,1999
47,Kal Ho Naa Ho, 7.9,2003
48,Oye Lucky Lucky Oye, 7.7,2008
49,Sarfarosh, 8.1,1999
50,Gangaajal, 7.8,2003
51,Angoor, 8.3,1982
52,Madras Cafe, 7.7,2013
53,English Vinglish, 7.8,2012
54,Chupke Chupke, 8.3,1975
55,Johnny Gaddaar, 7.8,2007
56,Maqbool, 8.1,2003
57,Hazaaron Khwaishein Aisi, 7.9,2003
58,Rock On, 7.7,2008
59,Don, 7.8,1978
60,Chhoti Si Baat, 8.3,1976
61,Guide, 8.4,1965
62,Raanjhanaa, 7.6,2013
63,Deewaar, 8.1,1975
64,Special Chabbis, 8,2013
65,Padosan, 8.1,1968
66,Mumbai Meri Jaan, 7.7,2008
67,Ab Tak Chhappan, 7.8,2004
68,Kai po che, 7.7,2013
69,Awaara, 7.9,1951
70,Shree 420, 8,1955
71,Earth, 7.7,1998
72,Gunda, 7.3,1998
73,Parinda, 7.9,1989
74,Dasvidaniya, 7.8,2008
75,Hey Ram, 7.9,2000
76,Pinjar Beyond Boundaries, 8,2003
77,Socha Na Tha, 7.4,2005
78,Guru, 7.7,2007
79,Bawarchi, 8,1972
80,Manorama Six Feet Under, 7.6,2007
81,Mr India, 7.8,1987
82,Aamir, 7.7,2008
83,Zakhm, 7.9,1998
84,Water, 7.7,2005
85,Stanley Ka Dabba, 7.8,2011
86,Agneepath, 7.7,1990
87,My Name Is Khan, 8,2010
88,Qayamat Se Qayamat Tak, 7.5,1988
89,3 Deewarein, 7.8,2003
90,Abhimaan, 7.9,1973
91,Sarkar, 7.6,2005
92,Bheja Fry, 7.6,2007
93,Mother India, 8.1,1957
94,Jaane Tu Ya Jaane Na, 7.5,2008
95,Delhi Belly, 7.6,2011
96,Wake Up Sid, 7.6,2009
97,Rangeela, 7.5,1995
98,Shatranj Ke Khilari, 7.7,1977
99,Pyaar Ka Punchnama, 7.6,2011
100,Ek Hasina Thi, 7.5,2004
