,company_name,num_salaries,Average_salary,minimum_salary,max_salary
0,Data Scientist,13 salaries,"₹ 12,81,419",₹456K,"₹11,789K"
1,See 14 salaries from all locations,11 salaries,"₹ 7,52,052",₹420K,"₹1,636K"
2,Data Scientist,10 salaries,"₹ 9,98,925",₹585K,"₹2,200K"
3,See 22 salaries from all locations,9 salaries,"₹ 6,02,000",₹336K,"₹1,024K"
4,Data Scientist,9 salaries,"₹ 7,71,657",₹595K,"₹2,769K"
5,See 37 salaries from all locations,8 salaries,"₹ 12,22,902",₹727K,"₹1,597K"
6,Data Scientist,8 salaries,"₹ 7,91,015",₹509K,"₹1,168K"
7,See 83 salaries from all locations,7 salaries,"₹ 12,15,138",₹629K,"₹1,719K"
8,Data Scientist,6 salaries,"₹ 10,21,889",₹804K,"₹1,281K"
9,See 73 salaries from all locations,5 salaries,"₹ 10,00,000",₹205K,"₹1,835K"
