,job_titles,job_location,company_name,experience_required
0,Data Scientist - Python/Machine Learning,Noida,Jubna,5-8 Yrs
1,Tech Mahindra hiring For Data Scientist- Noida,Noida,tech mahindra ltd,5-10 Yrs
2,Data Scientist - Commercial Planning and Analysis,"Delhi NCR, Gurgaon",Air Asia India Limited,1-6 Yrs
3,Data Scientist - Machine Learning/ Artificial Intelligence - IT,"Delhi/NCR Delhi NCR, Noida",Talent Acceleration Corridor,6-11 Yrs
4,GCP Skilled Analytics Resources (Data engineer / Data scientists),"Pune, Bengaluru, Gurgaon",Aerial Telecom Solutions Pvt. Ltd.,3-8 Yrs
5,Data Scientist,Gurgaon Gurugram,IBM India Pvt. Limited,3-5 Yrs
6,Data Scientist Machine Learning,Gurgaon,Delhivery,1-3 Yrs
7,Data Scientist,Delhi NCR,Eighteen Pixels India Private Limited,2-6 Yrs
8,Business Analyst - Data Scientist,Gurgaon,HyreFox Consultants Pvt Ltd,3-5 Yrs
9,Analyst - Data Scientist,Gurgaon,HyreFox Consultants Pvt Ltd,1-3 Yrs
