Brand,Product_description,price,discount_percentage,Link
French Connection ,Sneakers For Men  (Grey),"₹2,058",48% off,https://www.flipkart.com/french-connection-sneakers-men/p/itm716d13e1a2815?pid=SHOFGEQ8HYHEFHWG&lid=LSTSHOFGEQ8HYHEFHWGUVZ0JV&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_U5%2F4Ug3GlLfobhCKAKFijlaiqc0HKMwn%2FJADbVYAKLt0ArHP5TqlihTn%2B9xOA5dTroSMSfBUJnBm3j%2BP07ckxw%3D%3D&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Marc Ecko ,Sneakers For Men  (Grey),"₹1,049",52% off,https://www.flipkart.com/marc-ecko-sneakers-men/p/itm3f7e94ff2b755?pid=SHOFJY3BH9869E53&lid=LSTSHOFJY3BH9869E53L6EBCC&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_U5%2F4Ug3GlLfobhCKAKFijlaiqc0HKMwn%2FJADbVYAKLu7JTKcZIKRA%2FmOObgcu0zvIZvSfEnXtTe02MEzlPKL%2Fw%3D%3D&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Chevit ,Combo Pack of 4 Casual Sneakers With Sneakers For Men  (Multicolor),₹499,75% off,https://www.flipkart.com/chevit-combo-pack-4-casual-sneakers-men/p/itmfg2ybzgeygd6t?pid=SHOFGY97JGZTBRHY&lid=LSTSHOFGY97JGZTBRHYNP5E5F&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFGY97JGZTBRHY.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Robbie jones ,Casual Sneakers Shoes For Men Sneakers For Men  (White),₹399,60% off,https://www.flipkart.com/robbie-jones-casual-sneakers-shoes-men/p/itm5ee18096b212e?pid=SHOFVJG9EFVZTH9C&lid=LSTSHOFVJG9EFVZTH9CQIZLCU&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFVJG9EFVZTH9C.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
World Wear Footwear ,Combo Pack of 4 Latest Collection Stylish Casual Loafer Sneakers Shoes Sneakers For Men  (Multicolor),₹499,75% off,https://www.flipkart.com/world-wear-footwear-combo-pack-4-latest-collection-stylish-casual-loafer-sneakers-shoes-men/p/itm4d7438636eeaa?pid=SHOFZYY2HTUKFGCB&lid=LSTSHOFZYY2HTUKFGCBMWD0RN&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFZYY2HTUKFGCB.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Chevit ,171 Smart Tan Lace-Ups Casuals for Men Sneakers For Men  (Tan),₹236,52% off,https://www.flipkart.com/chevit-171-smart-tan-lace-ups-casuals-men-sneakers/p/itm388814db0265d?pid=SHOFZD3ZBEQMFH9S&lid=LSTSHOFZD3ZBEQMFH9SVQQRA3&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFZD3ZBEQMFH9S.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
BRUTON ,Combo Pack Of 4 Canvas Sneakers For Men  (Multicolor),₹499,85% off,https://www.flipkart.com/bruton-combo-pack-4-canvas-sneakers-men/p/itmc6896607b3f0f?pid=SHOFUXXZZEU8Z3E6&lid=LSTSHOFUXXZZEU8Z3E68COZPZ&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFUXXZZEU8Z3E6.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Stefano Rads ,Classy Sneakers For Men  (Blue),₹289,58% off,https://www.flipkart.com/stefano-rads-classy-sneakers-men/p/itmf3xvz7y5zngns?pid=SHOERAYW83HKH9FX&lid=LSTSHOERAYW83HKH9FX0GODGZ&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOERAYW83HKH9FX.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Oricum ,Combo pack of 2 casual sneaker shoes for men Sneakers For Men  (Multicolor),₹398,60% off,https://www.flipkart.com/oricum-combo-pack-2-casual-sneaker-shoes-men-sneakers/p/itma5aedefdee8eb?pid=SHOFQ4KHZZTYGGHX&lid=LSTSHOFQ4KHZZTYGGHXGIBZSF&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFQ4KHZZTYGGHX.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Shoes Bank ,White Sneaker For Men's/Boy's Sneakers For Men  (White),₹349,65% off,https://www.flipkart.com/shoes-bank-white-sneaker-men-s-boy-s-sneakers-men/p/itmf9p2zdypz2jyt?pid=SHOF9Z76CZH9CXE8&lid=LSTSHOF9Z76CZH9CXE8VEXKFM&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOF9Z76CZH9CXE8.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
