Title,Ratings,price,Link To Buy
Dell Inspiron 5501 15.6 Inch FHD Laptop (10th Gen i7-1065G7/8 GB/512 SSD/2 GB Nvidia Graphics/Win 10 + MS Office H&S 2019/Silver) D560213WIN9S,3.4 out of 5,"₹ 85,890.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A069085520ZN3FRAU0I2I&url=%2FDell-Inspiron-i7-1065G7-Graphics-D560213WIN9S%2Fdp%2FB08GY7C5SF%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756172%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-1-spons%26psc%3D1&qualifier=1611756178&id=7226174411632796&widgetName=sp_atf
"Dell Inspiron 5409 14.0"" FHD WVA AG Display 11th Gen Laptop (i7-1165G7 / 8 GB / 512 SSD / Nvidia MX 350 2GB Graphics / 1 Yr NBD / Win 10 + MS Office H&S / Pebble) D560374WIN9PE",4 out of 5,"₹ 86,990.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A067261537QCP5JT3DF52&url=%2FDell-Inspiron-i7-1165G7-Graphics-D560374WIN9PE%2Fdp%2FB08MQBFY23%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756172%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-2-spons%26psc%3D1&qualifier=1611756178&id=7226174411632796&widgetName=sp_atf
"Mi Notebook Horizon Edition 14 Intel Core i5-10210U 10th Gen Thin and Light Laptop(8GB/512GB SSD/Windows 10/Nvidia MX350 2GB Graphics/Grey/1.35Kg), XMA1904-AR+Webcam",4.2 out of 5,"₹ 54,862.00",https://www.amazon.in/Notebook-Horizon-i5-10210U-Graphics-XMA1904-AR/dp/B089F5JGM1/ref=sr_1_3?dchild=1&keywords=laptop&qid=1611756172&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-3
"(Renewed) Dell Latitude E7470 14-inch Laptop (Core i7 6th Gen/8GB(Up to 16)/1 TB HDD/Windows 10/MS Office Pro 2019/Intel Graphics), Black",NA,"₹ 53,599.00",https://www.amazon.in/Renewed-Dell-Latitude-14-inch-Graphics/dp/B08RSPBM7C/ref=sr_1_4?dchild=1&keywords=laptop&qid=1611756172&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-4
"(Renewed) Dell Latitude E7470 14-inch Laptop (Core i7 6th Gen/16GB/1 TB HDD/Windows 10/MS Office Pro 2019/Intel Graphics), Black",NA,"₹ 55,299.00",https://www.amazon.in/Renewed-Dell-Latitude-14-inch-Graphics/dp/B08RRSCQZ7/ref=sr_1_5?dchild=1&keywords=laptop&qid=1611756172&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-5
"(Renewed) Dell Latitude E7470 14-inch Laptop (Core i7 6th Gen/8GB(Up to 16)/500 GB HDD/Windows 10/MS Office Pro 2019/Intel Graphics), Black",NA,"₹ 52,699.00",https://www.amazon.in/Renewed-Dell-Latitude-14-inch-Graphics/dp/B08RRV5KMJ/ref=sr_1_6?dchild=1&keywords=laptop&qid=1611756172&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-6
"(Renewed) Dell Latitude E7470 14-inch Laptop (Core i7 6th Gen/16GB/500 GB HDD/Windows 10/MS Office Pro 2019/Intel Graphics), Black",NA,"₹ 54,399.00",https://www.amazon.in/Renewed-Dell-Latitude-14-inch-Graphics/dp/B08RSFLPB4/ref=sr_1_7?dchild=1&keywords=laptop&qid=1611756172&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-7
"MSI GF63 Thin Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Ti with Max-Q) GF63 Thin 9SCSR-1039IN Gaming Laptop (15.6 inch, Black, 1.86 kg)",NA,"₹ 70,990.00",https://www.amazon.in/MSI-GF63-Thin-Core-9th/dp/B08T1K2S41/ref=sr_1_8?dchild=1&keywords=laptop&qid=1611756172&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-8
"Lenovo Yoga S740 Intel Core i7 10th Gen 14 inch UHD Ultra Thin and Light Laptop (16GB/1TB SSD/Windows/Office/NVIDIA MX250 2GB/Iron Grey/1.4Kg), 81RS00B0IN",3.3 out of 5,"₹ 96,901.00",https://www.amazon.in/Lenovo-Laptop-Windows-Office-81RS00B0IN/dp/B08BSHBHZZ/ref=sr_1_9?dchild=1&keywords=laptop&qid=1611756172&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-9
"(Renewed) MSI Prestige PE62 Core i7 7th Gen 15.6"" FHD Laptop Nvidia GeForce GTX 1050 Ti 4GB GDDR5 (8GB/1TB + 125 GB NVMe SSD/DOS OS/Silver/2.2Kg) 7RE-2024XIN",NA,"₹ 55,990.00",https://www.amazon.in/Renewed-MSI-Prestige-PE62-7RE-2024XIN/dp/B08SW2335L/ref=sr_1_10?dchild=1&keywords=laptop&qid=1611756172&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-10
